file,obj,x,y
221105VIU_0026.fits,UCAC3296-11711,2611.521,1739.739
221105VIU_0026.fits,UCAC3296-11655,2764.796,1409.903
221105VIU_0026.fits,CGCS68,2952.514,1872.741
221105VIU_0027.fits,V1301Cas,1908.777,2141.282
221105VIU_0027.fits,UCAC3296-11711,2612.174,1737.952
221105VIU_0027.fits,UCAC3296-11655,2765.041,1406.83
221105VIU_0027.fits,CGCS68,2953.117,1869.423
221105VIU_0028.fits,V1301Cas,1910.453,2140.654
221105VIU_0028.fits,UCAC3296-11711,2612.435,1736.334
221105VIU_0028.fits,UCAC3296-11655,2765.284,1405.504
221105VIU_0028.fits,CGCS68,2954.238,1867.738
221105VIU_0029.fits,V1301Cas,1909.196,2137.511
221105VIU_0029.fits,UCAC3296-11711,2612.133,1733.318
221105VIU_0029.fits,UCAC3296-11655,2765.262,1402.975
221105VIU_0029.fits,CGCS68,2956.336,1865.773
221105VIU_0030.fits,V1301Cas,1910.872,2134.579
221105VIU_0030.fits,UCAC3296-11711,2612.943,1731.719
221105VIU_0030.fits,UCAC3296-11655,2765.094,1400.187
221105VIU_0030.fits,CGCS68,2956.336,1863.239
221105VIU_0031.fits,V1301Cas,1910.872,2132.274
221105VIU_0031.fits,UCAC3296-11711,2612.441,1730.211
221105VIU_0031.fits,UCAC3296-11655,2766.711,1399.168
221105VIU_0031.fits,CGCS68,2956.478,1861.599
221105VIU_0032.fits,V1301Cas,1910.662,2131.227
221105VIU_0032.fits,UCAC3296-11711,2612.978,1727.934
221105VIU_0032.fits,UCAC3296-11655,2765.943,1397.387
221105VIU_0032.fits,CGCS68,2955.875,1859.186
221105VIU_0033.fits,V1301Cas,1912.129,2129.76
221105VIU_0033.fits,UCAC3296-11711,2617.754,1727.179
221105VIU_0033.fits,UCAC3296-11655,2769.179,1398.187
221105VIU_0033.fits,CGCS68,2958.591,1860.496
221105VIU_0034.fits,V1301Cas,1919.67,2125.571
221105VIU_0034.fits,UCAC3296-11711,2621.789,1723.128
221105VIU_0034.fits,UCAC3296-11655,2775.555,1391.803
221105VIU_0034.fits,CGCS68,2964.745,1853.98
221105VIU_0035.fits,V1301Cas,1922.184,2124.733
221105VIU_0035.fits,UCAC3296-11711,2624.202,1721.619
221105VIU_0035.fits,UCAC3296-11655,2776.867,1392.3
221105VIU_0035.fits,CGCS68,2967.116,1854.731
221105VIU_0036.fits,V1301Cas,1923.86,2124.942
221105VIU_0036.fits,UCAC3296-11711,2627.528,1723.143
221105VIU_0036.fits,UCAC3296-11655,2778.988,1393.073
221105VIU_0036.fits,CGCS68,2968.021,1856.541
221105VIU_0037.fits,V1301Cas,1924.488,2125.99
221105VIU_0037.fits,UCAC3296-11711,2627.83,1724.349
221105VIU_0037.fits,UCAC3296-11655,2781.29,1394.679
221105VIU_0037.fits,CGCS68,2968.502,1856.843
221105VIU_0038.fits,V1301Cas,1924.424,2129.091
221105VIU_0038.fits,UCAC3296-11711,2627.836,1727.162
221105VIU_0038.fits,UCAC3296-11655,2781.814,1396.048
221105VIU_0038.fits,CGCS68,2969.105,1859.558
221105VIU_0039.fits,V1301Cas,1928.008,2127.607
221105VIU_0039.fits,UCAC3296-11711,2630.602,1726.911
221105VIU_0039.fits,UCAC3296-11655,2783.101,1394.47
221105VIU_0039.fits,CGCS68,2971.224,1857.908
221105VIU_0040.fits,V1301Cas,1927.706,2129.417
221105VIU_0040.fits,UCAC3296-11711,2627.645,1726.922
221105VIU_0040.fits,UCAC3296-11655,2785.229,1397.008
221105VIU_0040.fits,CGCS68,2976.042,1860.632
221105VIU_0041.fits,V1301Cas,1931.628,2129.719
221105VIU_0041.fits,UCAC3296-11711,2634.523,1726.198
221105VIU_0041.fits,UCAC3296-11655,2787.903,1396.134
221105VIU_0041.fits,CGCS68,2976.489,1859.448
221105VIU_0042.fits,V1301Cas,1931.628,2126.4
221105VIU_0042.fits,UCAC3296-11711,2635.38,1724.031
221105VIU_0042.fits,UCAC3296-11655,2788.246,1394.898
221105VIU_0042.fits,CGCS68,2976.663,1857.004
221105VIU_0043.fits,V1301Cas,1925.901,2124.66
221105VIU_0043.fits,UCAC3296-11711,2635.128,1724.534
221105VIU_0043.fits,UCAC3296-11655,2787.668,1394.315
221105VIU_0043.fits,CGCS68,2977.593,1856.824
221105VIU_0044.fits,V1301Cas,1920.167,2123.096
221105VIU_0044.fits,UCAC3296-11711,2621.017,1722.188
221105VIU_0044.fits,UCAC3296-11655,2775.082,1391.387
221105VIU_0044.fits,CGCS68,2964.923,1852.601
221105VIU_0045.fits,V1301Cas,1921.209,2124.66
221105VIU_0045.fits,UCAC3296-11711,2622.826,1722.791
221105VIU_0045.fits,UCAC3296-11655,2776.573,1392.71
221105VIU_0045.fits,CGCS68,2968.116,1855.501
221105VIU_0046.fits,V1301Cas,1920.165,2128.512
221105VIU_0046.fits,UCAC3296-11711,2623.279,1725.111
221105VIU_0046.fits,UCAC3296-11655,2776.664,1395.223
221105VIU_0046.fits,CGCS68,2965.401,1859.121
221105VIU_0047.fits,V1301Cas,1919.863,2132.132
221105VIU_0047.fits,UCAC3296-11711,2621.394,1730.139
221105VIU_0047.fits,UCAC3296-11655,2775.236,1398.524
221105VIU_0047.fits,CGCS68,2965.659,1859.913
221105VIU_0048.fits,V1301Cas,1920.165,2133.037
221105VIU_0048.fits,UCAC3296-11711,2622.745,1731.388
221105VIU_0048.fits,UCAC3296-11655,2777.525,1402.247
221105VIU_0048.fits,CGCS68,2965.659,1863.754
221105VIU_0049.fits,V1301Cas,1919.26,2139.07
221105VIU_0049.fits,UCAC3296-11711,2622.444,1735.612
221105VIU_0049.fits,UCAC3296-11655,2775.346,1406.247
221105VIU_0049.fits,CGCS68,2963.964,1866.976
221105VIU_0050.fits,V1301Cas,1916.846,2142.086
221105VIU_0050.fits,UCAC3296-11711,2620.007,1739.296
221105VIU_0050.fits,UCAC3296-11655,2772.257,1412.339
221105VIU_0050.fits,CGCS68,2962.757,1873.01
221105VIU_0051.fits,V1301Cas,1912.321,2149.628
221105VIU_0051.fits,UCAC3296-11711,2614.225,1747.341
221105VIU_0051.fits,UCAC3296-11655,2768.385,1415.151
221105VIU_0051.fits,CGCS68,2958.876,1878.515
221105VIU_0052.fits,V1301Cas,1908.701,2152.946
221105VIU_0052.fits,UCAC3296-11711,2613.665,1748.796
221105VIU_0052.fits,UCAC3296-11655,2763.281,1421.031
221105VIU_0052.fits,CGCS68,2956.161,1883.643
221105VIU_0053.fits,V1301Cas,1907.193,2155.661
221105VIU_0053.fits,UCAC3296-11711,2606.787,1755.312
221105VIU_0053.fits,UCAC3296-11655,2761.597,1423.441
221105VIU_0053.fits,CGCS68,2951.359,1887.71
221105VIU_0054.fits,V1301Cas,1900.255,2164.711
221105VIU_0054.fits,UCAC3296-11711,2603.471,1761.058
221105VIU_0054.fits,UCAC3296-11655,2756.262,1432.061
221105VIU_0054.fits,CGCS68,2946.08,1892.738
221105VIU_0055.fits,V1301Cas,1892.11,2170.141
221105VIU_0055.fits,UCAC3296-11711,2595.175,1767.092
221105VIU_0055.fits,UCAC3296-11655,2748.676,1438.371
221105VIU_0055.fits,CGCS68,2938.117,1899.136
221105VIU_0056.fits,V1301Cas,1885.172,2174.666
221105VIU_0056.fits,UCAC3296-11711,2590.142,1771.038
221105VIU_0056.fits,UCAC3296-11655,2744.011,1441.343
221105VIU_0056.fits,CGCS68,2933.341,1902.907
